# _tick,_time,frames,mean_episode_return_0,mean_episode_length_0,loss_0,mean_episode_return_1,mean_episode_length_1,loss_1,mean_episode_return_2,mean_episode_length_2,loss_2,mean_episode_return_3,mean_episode_length_3,loss_3
0,1766563223.2499251,0,-0.25,183.875,1.0,0,0,0,0,0,0,0,0,0
1,1766563223.7117455,3200,-0.25,183.875,1.0,0.20000000298023224,180.10000610351562,1.0,0,0,0,0,0,0
2,1766563225.1807396,6400,-0.25,183.875,1.0,0.20000000298023224,180.10000610351562,1.0,-0.20000000298023224,175.90000915527344,1.0,0,0,0
3,1766563225.7407608,9600,-0.25,183.875,1.0,0.20000000298023224,180.10000610351562,1.0,-0.20000000298023224,175.90000915527344,1.0,0.5,188.5,1.0
4,1766563230.5094492,12800,-0.19166666269302368,130.5,0.9999759197235107,0.20000000298023224,180.10000610351562,1.0,-0.20000000298023224,175.90000915527344,1.0,0.5,188.5,1.0
5,1766563230.7223544,16000,-0.19166666269302368,130.5,0.9999759197235107,0.17692308127880096,143.5,0.9995777606964111,-0.20000000298023224,175.90000915527344,1.0,0.5,188.5,1.0
6,1766563230.9935873,19200,-0.19166666269302368,130.5,0.9999759197235107,0.17692308127880096,143.5,0.9995777606964111,-0.14166666567325592,145.75,0.99990314245224,0.5,188.5,1.0
7,1766563231.996937,22400,-0.19166666269302368,130.5,0.9999759197235107,0.17692308127880096,143.5,0.9995777606964111,-0.14166666567325592,145.75,0.99990314245224,0.3306451439857483,135.0,0.9997785687446594
8,1766563238.5349388,25600,-0.19166666269302368,130.5,0.9999759197235107,0.4161943197250366,48.43421173095703,0.9957612156867981,-0.14166666567325592,145.75,0.99990314245224,0.3306451439857483,135.0,0.9997785687446594
9,1766563238.8473897,28800,-0.4351370930671692,50.6363639831543,0.997920036315918,0.4161943197250366,48.43421173095703,0.9957612156867981,-0.14166666567325592,145.75,0.99990314245224,0.3306451439857483,135.0,0.9997785687446594
10,1766563239.046653,32000,-0.4351370930671692,50.6363639831543,0.997920036315918,0.4161943197250366,48.43421173095703,0.9957612156867981,-0.3956492841243744,49.0,0.9962509870529175,0.3306451439857483,135.0,0.9997785687446594
11,1766563241.934461,35200,-0.4351370930671692,50.6363639831543,0.997920036315918,0.4161943197250366,48.43421173095703,0.9957612156867981,-0.3956492841243744,49.0,0.9962509870529175,0.5253946781158447,38.67021179199219,0.9962080121040344
12,1766563246.9693775,38400,-0.4351370930671692,50.6363639831543,0.997920036315918,0.5621457099914551,39.38554000854492,0.9912512898445129,-0.3956492841243744,49.0,0.9962509870529175,0.5253946781158447,38.67021179199219,0.9962080121040344
13,1766563248.8311415,41600,-0.5763528347015381,38.476192474365234,0.9956481456756592,0.5621457099914551,39.38554000854492,0.9912512898445129,-0.3956492841243744,49.0,0.9962509870529175,0.5253946781158447,38.67021179199219,0.9962080121040344
14,1766563249.435016,44800,-0.5763528347015381,38.476192474365234,0.9956481456756592,0.5621457099914551,39.38554000854492,0.9912512898445129,-0.5467369556427002,35.931819915771484,0.9913462400436401,0.5253946781158447,38.67021179199219,0.9962080121040344
15,1766563253.795855,48000,-0.5763528347015381,38.476192474365234,0.9956481456756592,0.5621457099914551,39.38554000854492,0.9912512898445129,-0.5467369556427002,35.931819915771484,0.9913462400436401,0.6440459489822388,29.04950523376465,0.9908481240272522
16,1766563256.0186284,51200,-0.5763528347015381,38.476192474365234,0.9956481456756592,0.6442371606826782,42.49314880371094,0.9860586524009705,-0.5467369556427002,35.931819915771484,0.9913462400436401,0.6440459489822388,29.04950523376465,0.9908481240272522
17,1766563256.294131,54400,-0.6553679704666138,40.771427154541016,0.9950584173202515,0.6442371606826782,42.49314880371094,0.9860586524009705,-0.5467369556427002,35.931819915771484,0.9913462400436401,0.6440459489822388,29.04950523376465,0.9908481240272522
18,1766563257.1293824,57600,-0.6553679704666138,40.771427154541016,0.9950584173202515,0.6442371606826782,42.49314880371094,0.9860586524009705,-0.6318340301513672,41.93055725097656,0.9879418611526489,0.6440459489822388,29.04950523376465,0.9908481240272522
19,1766563266.0245295,60800,-0.6553679704666138,40.771427154541016,0.9950584173202515,0.6442371606826782,42.49314880371094,0.9860586524009705,-0.6318340301513672,41.93055725097656,0.9879418611526489,0.7045701146125793,40.20000076293945,0.987604022026062
20,1766563267.439758,64000,-0.7013124227523804,51.534481048583984,0.9957832098007202,0.6442371606826782,42.49314880371094,0.9860586524009705,-0.6318340301513672,41.93055725097656,0.9879418611526489,0.7045701146125793,40.20000076293945,0.987604022026062
21,1766563268.4492106,67200,-0.7013124227523804,51.534481048583984,0.9957832098007202,0.6868643164634705,50.000003814697266,0.98070228099823,-0.6318340301513672,41.93055725097656,0.9879418611526489,0.7045701146125793,40.20000076293945,0.987604022026062
22,1766563269.4142103,70400,-0.7013124227523804,51.534481048583984,0.9957832098007202,0.6868643164634705,50.000003814697266,0.98070228099823,-0.6689525842666626,51.981815338134766,0.9879542589187622,0.7045701146125793,40.20000076293945,0.987604022026062
23,1766563277.15029,73600,-0.6851586103439331,74.76470947265625,1.0009907484054565,0.6868643164634705,50.000003814697266,0.98070228099823,-0.6689525842666626,51.981815338134766,0.9879542589187622,0.7045701146125793,40.20000076293945,0.987604022026062
24,1766563277.925153,76800,-0.6851586103439331,74.76470947265625,1.0009907484054565,0.6868643164634705,50.000003814697266,0.98070228099823,-0.6689525842666626,51.981815338134766,0.9879542589187622,0.7212881445884705,55.95121765136719,0.9978196620941162
25,1766563278.917641,80000,-0.6851586103439331,74.76470947265625,1.0009907484054565,0.6868643164634705,50.000003814697266,0.98070228099823,-0.6609455347061157,75.9032211303711,1.0096639394760132,0.7212881445884705,55.95121765136719,0.9978196620941162
26,1766563287.2978158,83200,-0.6851586103439331,74.76470947265625,1.0009907484054565,0.6868643164634705,50.000003814697266,0.98070228099823,-0.6609455347061157,75.9032211303711,1.0096639394760132,0.597838819026947,132.57144165039062,1.0125939846038818
27,1766563289.1747456,86400,-0.5614702701568604,141.17391967773438,1.0033937692642212,0.6868643164634705,50.000003814697266,0.98070228099823,-0.6609455347061157,75.9032211303711,1.0096639394760132,0.597838819026947,132.57144165039062,1.0125939846038818
28,1766563289.295417,89600,-0.5614702701568604,141.17391967773438,1.0033937692642212,0.6257779002189636,60.574073791503906,0.9984006881713867,-0.6609455347061157,75.9032211303711,1.0096639394760132,0.597838819026947,132.57144165039062,1.0125939846038818
29,1766563290.9494612,92800,-0.5614702701568604,141.17391967773438,1.0033937692642212,0.6257779002189636,60.574073791503906,0.9984006881713867,-0.5590965747833252,139.88461303710938,1.0078752040863037,0.597838819026947,132.57144165039062,1.0125939846038818
30,1766563299.0099938,96000,-0.5383003354072571,92.23529815673828,1.0020427703857422,0.6257779002189636,60.574073791503906,0.9984006881713867,-0.5590965747833252,139.88461303710938,1.0078752040863037,0.597838819026947,132.57144165039062,1.0125939846038818
31,1766563299.626029,99200,-0.5383003354072571,92.23529815673828,1.0020427703857422,0.6257779002189636,60.574073791503906,0.9984006881713867,-0.5590965747833252,139.88461303710938,1.0078752040863037,0.5352057218551636,105.80644989013672,1.0061001777648926
32,1766563302.6690316,102400,-0.5383003354072571,92.23529815673828,1.0020427703857422,0.6257779002189636,60.574073791503906,0.9984006881713867,-0.5003417134284973,102.18182373046875,1.0086188316345215,0.5352057218551636,105.80644989013672,1.0061001777648926
33,1766563307.5829496,105600,-0.5383003354072571,92.23529815673828,1.0020427703857422,0.5725556015968323,57.981815338134766,0.999323844909668,-0.5003417134284973,102.18182373046875,1.0086188316345215,0.5352057218551636,105.80644989013672,1.0061001777648926
