# _tick,_time,frames,mean_episode_return_0,mean_episode_length_0,loss_0,mean_episode_return_1,mean_episode_length_1,loss_1,mean_episode_return_2,mean_episode_length_2,loss_2,mean_episode_return_3,mean_episode_length_3,loss_3
0,1766558400.8105395,0,nan,0,1.0,0,0,0,0,0,0,0,0,0
1,1766558402.1213002,3200,nan,0,0.9992510676383972,0,0,0,0,0,0,0,0,0
2,1766558405.6625187,6400,nan,0,0.9987221956253052,0,0,0,0,0,0,0,0,0
3,1766558408.2672343,9600,nan,0,0.9987221956253052,nan,0,1.0,0,0,0,0,0,0
4,1766558408.6456487,12800,nan,0,0.9957177639007568,nan,0,1.0,0,0,0,0,0,0
5,1766558410.914054,16000,nan,0,0.9957177639007568,nan,0,0.9987794160842896,0,0,0,0,0,0
6,1766558414.338668,19200,nan,0,0.9957177639007568,nan,0,0.9964131116867065,0,0,0,0,0,0
7,1766558415.1671317,22400,nan,0,0.9972872734069824,nan,0,0.9964131116867065,0,0,0,0,0,0
8,1766558417.24938,25600,nan,0,0.9972872734069824,nan,0,0.9964131116867065,nan,0,1.0,0,0,0
9,1766558419.9442246,28800,nan,0,0.9972872734069824,nan,0,0.9915196299552917,nan,0,1.0,0,0,0
10,1766558422.669764,32000,nan,0,0.9972872734069824,nan,0,0.9915196299552917,nan,0,1.0011343955993652,0,0,0
11,1766558423.679465,35200,nan,0,0.9972872734069824,nan,0,0.9926930069923401,nan,0,1.0011343955993652,0,0,0
12,1766558425.1890008,38400,nan,0,0.9972872734069824,nan,0,0.9926930069923401,nan,0,1.0011343955993652,nan,0,1.0
13,1766558428.2756975,41600,nan,0,0.9972872734069824,nan,0,0.9926930069923401,nan,0,0.9991977214813232,nan,0,1.0
14,1766558430.2981586,44800,nan,0,0.9952399730682373,nan,0,0.9926930069923401,nan,0,0.9991977214813232,nan,0,1.0
15,1766558432.261019,48000,nan,0,0.9952399730682373,nan,0,0.9926930069923401,nan,0,0.9991977214813232,nan,0,1.0007144212722778
16,1766558432.8266952,51200,nan,0,0.9952399730682373,nan,0,0.9926930069923401,nan,0,0.9972105026245117,nan,0,1.0007144212722778
17,1766558435.8463886,54400,nan,0,0.9952399730682373,nan,0,0.9882169961929321,nan,0,0.9972105026245117,nan,0,1.0007144212722778
18,1766558438.794715,57600,nan,0,0.9952399730682373,nan,0,0.9882169961929321,nan,0,0.9972105026245117,nan,0,0.9997087121009827
19,1766558440.1790385,60800,nan,0,0.9952399730682373,nan,0,0.9882169961929321,nan,0,0.9956106543540955,nan,0,0.9997087121009827
20,1766558444.1345947,64000,nan,0,0.9952399730682373,nan,0,0.9882169961929321,nan,0,0.9956106543540955,nan,0,0.9980502128601074
21,1766558445.054299,67200,nan,0,0.9952399730682373,nan,0,0.9706535339355469,nan,0,0.9956106543540955,nan,0,0.9980502128601074
22,1766558448.1899827,70400,nan,0,0.9952399730682373,nan,0,0.9706535339355469,nan,0,0.9874398708343506,nan,0,0.9980502128601074
23,1766558450.815786,73600,nan,0,0.9952399730682373,nan,0,0.9706535339355469,nan,0,0.9874398708343506,nan,0,0.995717465877533
24,1766558453.9812872,76800,nan,0,0.9952399730682373,nan,0,0.9706535339355469,nan,0,0.9785774946212769,nan,0,0.995717465877533
25,1766558456.4911158,80000,nan,0,0.9952399730682373,nan,0,0.9706535339355469,nan,0,0.9785774946212769,nan,0,0.9882214665412903
